Tempo,Ocupacao,NumeroMedioRequisicoes,TempoMedioEspera,TamanhoFila
2950,0.951189,30.598738,33.758056,6
2960,0.951046,30.519385,31.958062,8
2970,0.951599,30.437116,32.760643,5
2980,0.951215,30.358951,31.934031,8
2990,0.951640,30.284433,31.957955,3
3000,0.951225,30.190451,32.487129,2
3010,0.949914,30.091957,31.143628,1
3020,0.949709,29.998790,31.314008,5
3030,0.948101,29.904243,31.193717,0
3040,0.948359,29.813394,32.328670,5
3050,0.947726,29.730705,29.535105,0
3060,0.946483,29.635795,30.228155,0
3070,0.946433,29.553180,31.370942,11
3080,0.946603,29.494256,29.511217,10
3090,0.946818,29.419210,29.990926,2
3100,0.945786,29.327596,30.603812,0
3110,0.944273,29.235504,30.194348,0
3120,0.945866,29.152078,30.929625,8
3130,0.944830,29.096962,29.475444,4
3140,0.945005,29.010279,29.946013,1
3150,0.943483,28.920099,29.635478,1
3160,0.943750,28.842945,30.864816,6
3170,0.944007,28.769955,30.881904,8
3180,0.943875,28.702346,30.525770,11
3190,0.943844,28.642454,31.002430,12
3200,0.944193,28.584919,30.011315,11
3210,0.944469,28.517867,30.435655,1
3220,0.943946,28.436737,28.436204,2
3230,0.943007,28.352505,29.223865,0
3240,0.940808,28.265708,28.902417,0
3250,0.941477,28.193509,34.591186,10
3260,0.941499,28.143901,28.143876,11
3270,0.941207,28.080659,29.770010,1
3280,0.940043,27.998484,28.012889,0
3290,0.940113,27.920035,29.046370,5
3300,0.940104,27.845094,29.110884,5
3310,0.940335,27.773277,29.774010,5
3320,0.940428,27.701974,30.161141,7
3330,0.940793,27.630890,31.717482,12
3340,0.941180,27.589779,26.858955,7
3350,0.942167,27.526593,28.284192,7
3360,0.941156,27.469652,29.161539,9
3370,0.941636,27.407653,28.434603,5
3380,0.941812,27.339715,28.037973,7
3390,0.941746,27.287085,25.686501,6
3400,0.941651,27.218734,28.218188,0
3410,0.939330,27.139373,27.644754,0
3420,0.939502,27.073204,36.021771,10
3430,0.939819,27.027807,29.665108,15
3440,0.940003,26.998966,25.764271,15
3450,0.939946,26.960031,27.214843,12
3460,0.940122,26.902537,28.562682,10
3470,0.940262,26.855795,26.026670,8
3480,0.940773,26.805703,28.425485,12
3490,0.940891,26.765927,29.596471,17
3500,0.940888,26.749352,28.044077,24
3510,0.941217,26.736275,30.077728,26
3520,0.941273,26.726091,30.587867,20
3530,0.941997,26.701757,27.669322,14
3540,0.941456,26.670563,27.220260,15
3550,0.941885,26.647831,28.250073,24
3560,0.942080,26.621854,28.897669,23
3570,0.942223,26.636594,28.242703,27
3580,0.942089,26.642580,27.184462,30
3590,0.942433,26.640156,26.168223,25
3600,0.942560,26.642048,30.446231,31
3610,0.942541,26.652822,26.882420,27
3620,0.942783,26.653366,28.091960,25
3630,0.943516,26.644491,26.192731,22
3640,0.943320,26.632321,27.012822,26
3650,0.943322,26.643884,30.500169,31
3660,0.943693,26.655546,27.303616,29
3670,0.943470,26.664522,26.874309,34
3680,0.943746,26.696546,28.409074,36
3690,0.943947,26.715991,28.655790,32
3700,0.944184,26.726948,27.315132,28
3710,0.944236,26.721952,28.427112,24
3720,0.944505,26.713338,27.765478,19
3730,0.944519,26.698602,28.040692,22
3740,0.944566,26.683616,28.087742,25
3750,0.944979,26.668384,25.914585,18
3760,0.944844,26.636681,26.871832,9
3770,0.945226,26.595390,28.850897,11
3780,0.945208,26.553821,27.423698,10
3790,0.945395,26.503578,19.611628,3
3800,0.944909,26.437732,26.826431,0
3810,0.945289,26.381885,27.865749,7
3820,0.945200,26.331487,27.875879,9
3830,0.945557,26.286474,30.121298,15
3840,0.945483,26.257686,26.837040,10
3850,0.945666,26.215853,26.864725,7
3860,0.945652,26.176419,29.876582,16
3870,0.946456,26.154181,26.015337,15
3880,0.945879,26.132155,26.911512,17
3890,0.946088,26.106271,27.272069,14
3900,0.946807,26.063838,27.814022,14
3910,0.946554,26.044871,23.680918,11
3920,0.946422,26.002555,27.092420,13
3930,0.946692,25.957334,24.669038,4
3940,0.947115,25.910158,27.932465,9
3950,0.947035,25.860306,27.959346,5
3960,0.947006,25.803921,26.138468,2
3970,0.946651,25.742125,26.681378,1
3980,0.946536,25.685238,28.402981,5
3990,0.946649,25.631289,24.783135,2
4000,0.946053,25.571076,25.419351,2
4010,0.946345,25.511698,26.530840,4
4020,0.946133,25.457660,27.773691,5
4030,0.946621,25.407984,23.405497,3
4040,0.946905,25.353109,28.167224,4
4050,0.947091,25.307120,27.823829,9
4060,0.946806,25.274424,27.049584,14
4070,0.947087,25.246049,26.747787,17
4080,0.947105,25.224700,27.584396,18
4090,0.947000,25.204865,29.056621,15
4100,0.947840,25.176146,25.686045,12
4110,0.947595,25.144499,27.900725,13
4120,0.947510,25.108872,27.875150,6
4130,0.947052,25.057064,26.352239,0
4140,0.946861,25.000606,25.344823,2
4150,0.947050,24.965738,25.752688,18
4160,0.946998,24.936889,24.676502,12
4170,0.947233,24.915096,27.395544,20
4180,0.947259,24.897598,26.292004,19
4190,0.947539,24.884687,26.968020,21
4200,0.948101,24.879345,26.215969,19
4210,0.948289,24.863796,26.248599,17
4220,0.947760,24.843060,26.110340,10
4230,0.947939,24.803946,25.876389,7
4240,0.948095,24.762629,27.066253,8
4250,0.948651,24.726171,27.110837,13
4260,0.948559,24.696907,24.800806,10
4270,0.948554,24.672519,27.165472,18
4280,0.949049,24.654647,24.724466,18
4290,0.948793,24.637919,26.672555,17
4300,0.948780,24.615058,25.627118,13
4310,0.948845,24.587016,26.641150,12
4320,0.949127,24.562412,25.275087,14
4330,0.949113,24.539536,25.994025,15
4340,0.949242,24.512221,25.632546,8
4350,0.949406,24.475466,29.330900,10
4360,0.949683,24.432710,26.079219,3
4370,0.949805,24.396510,24.680698,8
4380,0.949912,24.355392,24.757238,3
4390,0.949796,24.304843,24.000378,2
4400,0.949721,24.256198,23.379060,0
4410,0.949095,24.203245,23.979608,2
4420,0.949101,24.155817,26.267517,5
4430,0.949094,24.114158,23.124518,5
4440,0.949205,24.070103,24.712676,3
4450,0.949319,24.022988,24.795599,4
4460,0.949226,23.975799,25.223081,0
4470,0.948478,23.923150,26.718462,1
4480,0.948173,23.877424,23.465823,2
4490,0.948495,23.829064,27.161835,3
4500,0.948343,23.785269,21.867452,4
4510,0.948525,23.751458,25.321783,9
4520,0.948626,23.722091,24.253369,9
4530,0.948862,23.695486,25.723473,15
4540,0.949148,23.679292,25.891693,17
4550,0.949049,23.665234,24.335550,20
4560,0.949052,23.653651,26.056283,22
4570,0.949390,23.650050,24.258981,24
4580,0.949336,23.653542,23.283787,24
4590,0.949682,23.653990,24.586043,24
4600,0.949513,23.657121,25.055684,25
4610,0.949721,23.655497,25.068106,22
4620,0.949824,23.648621,25.041806,18
4630,0.949910,23.632213,23.864227,11
4640,0.950249,23.599152,26.164468,11
4650,0.950148,23.568971,24.001363,6
4660,0.950231,23.532853,25.907927,4
4670,0.950198,23.501900,28.254005,15
4680,0.950470,23.481728,24.754762,15
4690,0.950503,23.462047,23.857276,13
4700,0.950640,23.442516,24.416991,18
4710,0.950629,23.432313,24.197090,22
4720,0.950879,23.431734,25.134202,26
4730,0.950947,23.442411,24.629587,26
4740,0.951638,23.447542,21.560310,25
4750,0.951125,23.451782,23.385413,25
4760,0.951920,23.458364,24.796289,27
4770,0.951374,23.462868,24.002752,28
4780,0.951362,23.475122,25.604583,26
4790,0.951501,23.473765,23.775006,26
4800,0.951765,23.472355,24.002057,20
4810,0.951673,23.475182,26.055825,28
4820,0.952074,23.476200,24.833203,27
4830,0.951913,23.486648,24.848536,28
4840,0.951986,23.496783,22.731254,23
4850,0.952356,23.492532,24.214388,10
4860,0.952154,23.457126,23.283108,1
4870,0.952433,23.416172,24.373411,5
4880,0.952405,23.380636,25.650363,6
4890,0.952901,23.352629,26.102319,10
4900,0.952389,23.324342,24.053821,7
4910,0.952395,23.296608,25.433212,12
4920,0.952620,23.275593,23.629624,9
4930,0.952578,23.248527,26.060099,15
4940,0.953002,23.228155,25.374248,18
4950,0.952788,23.220290,24.103224,24
4960,0.953224,23.217793,24.534989,26
4970,0.953087,23.228029,25.198631,27
4980,0.953475,23.234214,24.990061,26
4990,0.953353,23.239472,21.855493,24
5000,0.953248,23.243149,23.823768,25
5010,0.953344,23.237243,22.994007,22
5020,0.953506,23.233631,26.213787,19
5030,0.953679,23.217809,23.903162,13
5040,0.954112,23.196135,22.926695,12
5050,0.953867,23.180414,23.946024,13
5060,0.954220,23.157793,23.775677,13
5070,0.953913,23.142880,24.606519,18
5080,0.953987,23.132002,24.365173,16
5090,0.954493,23.111825,21.899556,10
5100,0.954204,23.085737,23.102150,10
5110,0.954438,23.059804,26.419524,11
5120,0.954682,23.032271,22.920938,8
5130,0.954485,23.009683,24.356545,11
5140,0.954615,22.981692,24.118380,6
5150,0.954748,22.947523,21.455256,2
5160,0.953805,22.904592,27.813579,1
5170,0.953770,22.862986,24.570308,2
5180,0.953303,22.821172,24.234437,2
5190,0.952304,22.779139,24.415324,2
5200,0.952510,22.742571,26.800602,10
5210,0.953109,22.710979,23.631698,1
5220,0.952665,22.674822,21.894663,5
5230,0.952677,22.642388,24.509719,7
5240,0.952718,22.607420,24.983098,4
5250,0.952825,22.568874,23.117417,1
5260,0.952171,22.526909,24.517316,1
5270,0.951808,22.493765,24.989862,7
5280,0.951772,22.456463,23.824225,1
5290,0.950923,22.415197,24.213364,1
5300,0.951250,22.378446,24.898778,5
5310,0.951400,22.342677,22.515176,4
5320,0.951247,22.309069,25.274988,6
5330,0.951473,22.277181,21.721073,6
5340,0.951434,22.249618,22.008703,6
5350,0.951547,22.217574,19.578970,3
5360,0.951494,22.183842,22.251802,2
5370,0.950811,22.145554,23.440169,3
5380,0.950833,22.117350,23.017589,8
5390,0.950862,22.083965,23.853329,5
5400,0.951026,22.051488,23.542932,7
5410,0.951066,22.017811,23.597513,4
5420,0.950027,21.978763,22.492443,2
5430,0.950394,21.947494,23.625619,7
5440,0.950499,21.925814,23.479550,10
5450,0.950392,21.902021,25.181653,9
5460,0.950381,21.873467,24.559027,6
5470,0.950648,21.848067,23.020058,11
5480,0.950725,21.826767,21.922040,7
5490,0.950867,21.794360,22.344163,3
5500,0.950917,21.763152,24.994502,8
5510,0.950853,21.738345,21.803499,9
5520,0.950855,21.715121,22.899588,10
5530,0.950972,21.696315,19.629958,9
5540,0.951058,21.676829,21.042774,10
5550,0.951095,21.647618,22.787063,4
5560,0.950690,21.610598,24.275831,3
5570,0.950457,21.577963,25.860574,6
5580,0.949572,21.544417,22.332886,0
5590,0.949835,21.518012,23.406477,8
5600,0.949856,21.495826,20.929583,7
5610,0.949839,21.468281,21.803643,7
5620,0.949952,21.442233,23.460004,7
5630,0.950253,21.415386,23.122715,7
5640,0.950168,21.388603,21.376530,6
5650,0.950418,21.358752,24.358722,7
5660,0.950387,21.333143,24.704006,8
5670,0.950517,21.304788,21.458054,2
5680,0.950014,21.269173,23.069320,2
5690,0.949771,21.234512,23.017844,4
5700,0.949720,21.200532,21.979690,1
5710,0.948529,21.164972,22.031648,0
5720,0.948089,21.129518,23.501570,4
5730,0.948596,21.098676,22.522347,5
5740,0.948239,21.072466,22.492173,3
5750,0.947070,21.036515,21.827976,0
5760,0.946254,21.001409,22.685903,3
5770,0.946149,20.968899,22.067618,7
5780,0.946498,20.941436,23.247079,6
5790,0.946345,20.916767,22.637503,10
5800,0.946455,20.900827,22.076131,10
5810,0.946822,20.878249,24.222277,7
5820,0.946615,20.861357,21.835153,19
5830,0.946868,20.851875,22.874901,15
5840,0.946763,20.841491,22.563390,15
5850,0.946989,20.829275,22.188161,14
5860,0.947632,20.815463,23.045297,17
5870,0.947088,20.813390,20.625644,18
5880,0.947743,20.810861,23.220155,25
5890,0.947300,20.809670,19.496472,23
5900,0.947420,20.819723,22.035856,21
5910,0.947490,20.824676,20.503893,25
5920,0.947493,20.836506,21.498710,19
5930,0.947621,20.826392,21.678194,12
5940,0.948572,20.805866,21.849611,9
5950,0.947758,20.794146,23.055946,14
5960,0.947970,20.778450,21.036200,16
5970,0.947976,20.778891,22.634175,18
5980,0.948216,20.773182,21.751287,16
5990,0.948103,20.769369,20.471796,16
6000,0.948190,20.750914,22.377084,11
6010,0.948404,20.727211,21.042071,1
6020,0.948221,20.698714,20.962496,6
6030,0.948284,20.677711,22.733946,12
6040,0.948541,20.659365,22.015501,9
6050,0.948323,20.638396,22.064655,6
6060,0.947459,20.605853,21.413382,0
6070,0.947316,20.574341,22.030062,2
6080,0.947125,20.544501,23.035732,1
6090,0.946510,20.512217,21.262516,2
6100,0.945736,20.480768,20.986700,0
6110,0.945946,20.450503,22.718405,5
6120,0.946003,20.425895,20.891942,11
6130,0.945903,20.410293,19.901250,7
6140,0.946037,20.387779,19.935343,7
6150,0.946059,20.366399,19.808323,9
6160,0.946289,20.346015,20.412421,3
6170,0.945481,20.315002,20.861378,4
6180,0.945908,20.286376,22.551199,5
6190,0.945726,20.264401,22.172700,8
6200,0.945748,20.240615,21.136638,2
6210,0.945387,20.210784,21.453839,4
6220,0.945334,20.182083,18.848021,0
6230,0.944585,20.150480,21.518576,3
6240,0.944242,20.120857,20.846490,0
6250,0.944103,20.091226,21.842540,6
6260,0.944545,20.066303,23.452026,3
6270,0.944285,20.040781,20.382279,3
6280,0.944566,20.014616,19.422670,3
6290,0.944950,19.987152,20.878569,3
6300,0.944466,19.961514,21.377955,4
6310,0.944088,19.932153,21.027190,3
6320,0.943576,19.902604,21.153376,2
6330,0.943327,19.873662,18.354409,0
6340,0.942739,19.843828,20.878475,0
6350,0.942901,19.819129,21.810373,7
6360,0.942975,19.801289,20.549667,9
6370,0.943116,19.782457,16.834015,7
6380,0.943108,19.766951,22.215009,9
6390,0.942502,19.740924,15.308706,0
6400,0.941932,19.711545,18.336495,0
6410,0.941948,19.687687,20.971957,9
6420,0.942041,19.669427,20.490416,6
6430,0.941706,19.641520,20.265017,0
6440,0.941297,19.612403,20.503932,2
6450,0.940953,19.584572,18.492443,0
6460,0.940649,19.556789,18.618857,0
6470,0.940660,19.534263,19.042091,6
6480,0.940540,19.511756,19.520902,0
6490,0.939879,19.483008,20.430733,0
6500,0.939069,19.453899,20.399499,0
6510,0.939050,19.429522,20.830761,8
6520,0.939271,19.413920,20.158750,9
6530,0.939332,19.406950,18.155634,16
6540,0.939684,19.401360,19.525197,17
6550,0.939414,19.398735,21.732731,16
6560,0.939649,19.385317,21.765057,11
6570,0.939631,19.371976,21.624957,12
6580,0.939811,19.357715,19.042337,7
6590,0.939814,19.338288,23.163448,12
6600,0.939965,19.322673,20.732814,10
6610,0.939939,19.311535,18.588326,15
6620,0.940330,19.306579,20.868304,19
6630,0.940168,19.308670,20.486289,24
6640,0.940587,19.303373,16.714869,18
6650,0.940426,19.305733,20.453797,18
6660,0.940391,19.301703,18.847954,10
6670,0.940567,19.288222,20.341436,12
6680,0.940646,19.281343,20.895431,18
6690,0.940738,19.274701,19.747009,15
6700,0.940754,19.270196,21.049162,19
6710,0.940831,19.271688,19.702972,22
6720,0.940936,19.271565,18.303012,18
6730,0.941372,19.259123,22.214853,13
6740,0.941282,19.251877,20.161331,6
6750,0.941271,19.230111,20.952962,3
6760,0.941583,19.205939,20.729089,6
6770,0.941644,19.184615,18.084075,1
6780,0.941342,19.160360,17.877218,0
6790,0.940622,19.132876,20.119041,0
6800,0.939552,19.105053,19.613761,0
