Tempo,Ocupacao,NumeroMedioRequisicoes,TempoMedioEspera,TamanhoFila
2140,0.994182,30.319543,28.718498,72
2150,0.992586,30.533036,30.957300,76
2160,0.993100,30.743646,32.080716,72
2170,0.993107,30.931590,30.817596,73
2180,0.992755,31.120347,29.877104,74
2190,0.993389,31.314602,30.416590,77
2200,0.992813,31.469180,31.601502,70
2210,0.993179,31.657660,30.264136,75
2220,0.992892,31.896441,30.249967,81
2230,0.994469,32.127990,30.927364,77
2240,0.993121,32.300314,31.301716,76
2250,0.992979,32.507443,31.993964,75
2260,0.992965,32.656823,32.565920,72
2270,0.993111,32.861762,32.677415,73
2280,0.993139,33.022693,32.018226,71
2290,0.993307,33.172393,32.109341,67
2300,0.993272,33.323394,30.664109,65
2310,0.993100,33.412192,38.223000,75
2320,0.993546,33.664921,31.959807,76
2330,0.993467,33.839386,34.777979,71
2340,0.993281,33.998695,32.452072,69
2350,0.993206,34.089852,33.561086,75
2360,0.993362,34.325201,31.148565,68
2370,0.993818,34.452185,32.199041,73
2380,0.993400,34.618633,33.972395,68
2390,0.993877,34.745739,35.192370,71
2400,0.994055,34.925395,32.188916,66
2410,0.994251,35.028618,35.207329,62
2420,0.993948,35.178203,37.686474,72
2430,0.993989,35.333204,34.798118,78
2440,0.993549,35.528031,33.813182,84
2450,0.993912,35.713237,35.833419,87
2460,0.994423,35.951217,35.043582,93
2470,0.993554,36.141495,36.190813,94
2480,0.993627,36.423567,36.233794,100
2490,0.993667,36.661381,36.357868,98
2500,0.994393,36.894174,34.418914,95
2510,0.993834,37.136441,34.387295,94
2520,0.993716,37.332583,37.640149,97
2530,0.994649,37.579904,35.408333,92
2540,0.993887,37.816899,36.319114,90
2550,0.994297,38.019066,36.496986,90
2560,0.993856,38.199545,37.229502,90
2570,0.994331,38.393652,39.705129,80
2580,0.994156,38.578778,38.316327,82
2590,0.993914,38.718852,37.863669,69
2600,0.994254,38.847175,37.528291,69
2610,0.995393,38.939516,37.876694,77
2620,0.994346,39.131893,38.216396,79
2630,0.994055,39.240788,38.669742,76
2640,0.994373,39.409547,38.103420,79
2650,0.994574,39.568537,37.029674,75
2660,0.994041,39.703644,38.164989,77
2670,0.994345,39.840743,35.095983,71
2680,0.994772,39.944392,39.761838,64
2690,0.994223,40.049114,39.675404,63
2700,0.994672,40.123192,40.696152,62
2710,0.994832,40.205124,39.273035,60
2720,0.994207,40.270779,37.207007,56
2730,0.994530,40.348302,39.588742,60
2740,0.994490,40.408724,40.073059,56
2750,0.995920,40.455628,42.296265,57
2760,0.994339,40.532041,40.490400,61
2770,0.994571,40.591398,44.438663,62
2780,0.994441,40.687161,40.663857,67
2790,0.994384,40.772953,41.153207,67
2800,0.994463,40.864274,41.561244,65
2810,0.994898,40.957843,39.297597,65
2820,0.994596,41.033879,45.058028,66
2830,0.995290,41.122241,40.816486,66
2840,0.994498,41.205997,40.028258,64
2850,0.994943,41.285617,41.125824,64
2860,0.994505,41.342318,39.623799,65
2870,0.994975,41.437535,40.519667,65
2880,0.995031,41.529427,38.487605,68
2890,0.994558,41.628613,42.066275,72
2900,0.994982,41.733605,41.034273,75
2910,0.994522,41.847699,40.763138,76
2920,0.995482,41.943387,42.346995,80
2930,0.994842,42.095571,43.040294,88
2940,0.994997,42.249876,41.006712,89
2950,0.994988,42.423953,38.040135,90
2960,0.995056,42.595989,43.887628,97
2970,0.995054,42.775081,40.693448,98
2980,0.994922,42.958322,37.597966,92
2990,0.994756,43.126048,41.389746,89
3000,0.995260,43.285291,39.652222,94
3010,0.995160,43.460254,39.001340,91
3020,0.995409,43.632712,41.888666,96
3030,0.995514,43.800272,45.416547,96
3040,0.994954,43.975876,42.739868,97
3050,0.994942,44.139641,43.262776,94
3060,0.995236,44.280660,43.968229,91
3070,0.995010,44.424671,44.698497,95
3080,0.995286,44.618932,42.945877,93
3090,0.995268,44.769166,44.386994,96
3100,0.994934,44.942885,42.359008,88
3110,0.995991,45.079448,44.516715,90
3120,0.994967,45.235358,45.082277,104
3130,0.994958,45.441648,46.061562,115
3140,0.995681,45.657324,44.427779,113
3150,0.995013,45.828230,45.565693,111
3160,0.995119,46.080272,45.712737,109
3170,0.995719,46.246294,46.616949,109
3180,0.995034,46.467481,45.424999,109
3190,0.995137,46.675978,46.595898,114
3200,0.995253,46.870304,45.360077,117
3210,0.995065,47.094641,45.895303,115
3220,0.996324,47.278383,47.188408,117
3230,0.995626,47.528323,45.448394,123
3240,0.995121,47.756947,44.387388,114
3250,0.995109,47.969211,46.769589,118
3260,0.995120,48.172459,47.679307,117
3270,0.995130,48.371606,46.417567,111
3280,0.995736,48.546503,47.578668,107
3290,0.995341,48.726966,46.969516,101
3300,0.995378,48.876756,47.496852,98
3310,0.995504,49.016400,47.796741,93
3320,0.995227,49.153637,44.880925,88
3330,0.995237,49.257941,48.802380,83
3340,0.995877,49.356196,49.652962,86
3350,0.995291,49.481174,47.870010,88
3360,0.995289,49.588707,46.796703,80
3370,0.995449,49.675133,48.032880,81
3380,0.995600,49.742957,48.652645,80
3390,0.995792,49.855841,48.748512,79
3400,0.995367,49.951250,48.420182,84
3410,0.995451,50.052301,49.385223,81
3420,0.995923,50.132349,46.405029,73
3430,0.995538,50.178304,50.438493,79
3440,0.995973,50.287934,49.264993,81
3450,0.996157,50.380744,52.385662,92
3460,0.995998,50.503677,49.706372,94
3470,0.995469,50.617887,50.942179,93
3480,0.995445,50.765630,49.437242,91
3490,0.995876,50.883647,49.846379,91
3500,0.995627,50.976509,50.588010,95
3510,0.995505,51.096404,50.151436,89
3520,0.995479,51.224547,50.254808,92
3530,0.995492,51.325132,50.368580,86
3540,0.996025,51.436258,53.329028,95
3550,0.995550,51.543874,49.320502,94
3560,0.996007,51.653032,51.045980,90
3570,0.995719,51.747040,45.504243,79
3580,0.995541,51.833123,46.513593,73
3590,0.996081,51.896555,50.980357,74
3600,0.995823,51.948651,50.993703,81
3610,0.995899,52.054053,50.318838,86
3620,0.995865,52.138330,50.826461,85
3630,0.996548,52.240210,50.611886,82
3640,0.995987,52.313123,51.183937,85
3650,0.995705,52.377971,51.566042,91
3660,0.995804,52.505422,51.252060,88
3670,0.996051,52.614962,50.855126,89
3680,0.996124,52.695780,51.569612,93
3690,0.995781,52.837709,51.037360,91
3700,0.995695,52.932309,51.075301,84
3710,0.996307,52.989136,50.998675,89
3720,0.996015,53.131938,52.845143,95
3730,0.995836,53.214958,52.820018,98
3740,0.995757,53.356094,51.009805,100
3750,0.995914,53.480723,51.596796,89
3760,0.995940,53.577823,52.306880,90
3770,0.995948,53.669805,51.750038,87
3780,0.995913,53.761426,51.763592,94
3790,0.996483,53.868103,52.752046,86
3800,0.995821,53.937944,53.059340,94
3810,0.995897,54.067246,53.137747,96
3820,0.995931,54.187631,53.328937,103
3830,0.996207,54.288326,53.151772,99
3840,0.995871,54.427049,52.960055,101
3850,0.995975,54.534467,52.913260,98
3860,0.996177,54.622464,53.868245,92
3870,0.997228,54.721591,53.525385,98
3880,0.995988,54.838209,51.956694,101
3890,0.996060,54.976626,54.610041,94
3900,0.996109,55.083280,52.420633,94
3910,0.996576,55.182135,53.207081,99
3920,0.996130,55.275497,56.844617,103
3930,0.996753,55.419425,56.710193,104
3940,0.996017,55.540262,54.553307,102
3950,0.995982,55.618853,55.146444,100
3960,0.996059,55.752881,53.136807,104
3970,0.997022,55.867659,55.105278,105
3980,0.996071,56.013374,52.981727,104
3990,0.996129,56.127963,56.428892,106
4000,0.996023,56.249586,56.735088,111
4010,0.996102,56.407731,55.285745,114
4020,0.996090,56.546979,56.381870,112
4030,0.996127,56.673372,54.785771,101
4040,0.996357,56.783209,55.210050,103
