Tempo(s),Fila,E[N],E[W]
2190,11,5.975562,58.421787
2200,9,5.989949,58.829855
2210,9,6.003569,59.231641
2220,6,6.013630,59.599371
2230,7,6.017900,59.644076
2240,8,6.025308,59.719864
2250,6,6.024369,59.712904
2260,6,6.024261,59.977221
2270,9,6.033235,59.545407
2280,9,6.046488,59.679620
2290,10,6.063379,59.592871
2300,11,6.081588,59.776289
2310,13,6.106797,59.774160
2320,13,6.135926,59.812389
2330,12,6.161143,60.317070
2340,14,6.188738,60.340192
2350,13,6.222387,60.674725
2360,13,6.250977,60.709077
2370,11,6.273090,60.931241
2380,12,6.294359,60.650097
2390,11,6.317402,60.881412
2400,11,6.336913,61.324961
2410,12,6.358706,61.297927
2420,11,6.383297,61.544139
2430,10,6.402674,61.740075
2440,10,6.416122,61.878805
2450,9,6.428289,62.250227
2460,9,6.437937,62.107154
2470,9,6.448309,62.460095
2480,8,6.457286,62.311555
2490,7,6.463648,62.381717
2500,7,6.465279,62.406170
2510,7,6.467410,62.676440
2520,7,6.472064,62.729238
2530,8,6.477382,62.548762
2540,6,6.482816,62.372545
2550,6,6.479304,62.348016
2560,6,6.478127,62.345888
2570,7,6.477992,62.121045
2580,7,6.480016,62.382239
2590,7,6.483597,62.425711
2600,8,6.486662,62.464153
2610,7,6.489621,62.501516
2620,7,6.491569,62.759819
2630,8,6.496586,62.816258
2640,8,6.502599,62.882275
2650,8,6.509515,62.956989
2660,9,6.515764,63.025207
2670,9,6.525315,63.125329
2680,9,6.534486,63.221743
2690,11,6.546373,63.117358
2700,16,6.570578,62.466764
2710,19,6.607810,62.394304
2720,20,6.656132,62.645951
2730,19,6.703604,63.324700
2740,20,6.749057,63.330194
2750,21,6.797902,63.802837
2760,22,6.852978,64.334077
2770,23,6.910287,64.667211
2780,21,6.964905,65.193386
2790,22,7.016434,65.690773
2800,21,7.068180,66.412430
2810,20,7.116102,67.101500
2820,18,7.155745,67.488965
2830,19,7.198430,67.679593
2840,19,7.239985,68.310823
2850,18,7.278664,68.689378
2860,18,7.316151,69.285405
2870,19,7.354728,69.663598
2880,19,7.395163,70.290661
2890,20,7.436588,70.696513
2900,21,7.480829,70.896746
2910,19,7.524613,71.557594
2920,19,7.563413,71.938650
2930,20,7.602870,72.326004
2940,18,7.641863,72.945058
2950,16,7.673079,73.254317
2960,17,7.700941,73.295133
2970,16,7.728269,73.567180
2980,15,7.751009,73.560535
2990,16,7.778389,73.832959
3000,17,7.807898,74.125611
3010,17,7.840573,74.214231
3020,17,7.870963,74.515072
3030,19,7.905505,74.622053
3040,19,7.941462,74.512487
3050,18,7.974603,74.838581
3060,18,8.005556,75.144176
3070,18,8.038111,75.696323
3080,17,8.068564,76.230604
3090,16,8.096390,76.741856
3100,12,8.115420,77.171168
3110,10,8.124136,77.503261
3120,11,8.130298,77.573486
3130,12,8.140320,77.680491
3140,13,8.153528,77.817865
3150,12,8.167338,77.960953
3160,11,8.180207,78.095024
3170,13,8.191754,77.981562
3180,13,8.208613,78.153860
3190,14,8.226654,78.337390
3200,14,8.245055,78.524332
3210,14,8.262257,78.466997
3220,14,8.280076,78.881198
3230,15,8.298062,79.064129
3240,15,8.318747,79.506607
3250,15,8.339303,79.713923
3260,15,8.359734,80.155099
3270,15,8.379861,80.123236
3280,15,8.400045,80.561833
3290,13,8.417801,80.978259
3300,10,8.426793,81.311164
3310,11,8.431841,81.368496
3320,9,8.435834,81.652966
3330,9,8.437528,81.915357
3340,9,8.440185,81.948311
3350,10,8.442281,81.738851
3360,9,8.446780,81.790143
3370,9,8.448421,82.049509
3380,8,8.449795,82.069843
3390,8,8.447911,81.824052
3400,11,8.452690,81.184031
3410,11,8.460160,81.494766
3420,10,8.467214,81.801898
3430,10,8.472470,81.860770
3440,9,8.474965,82.123602
3450,10,8.479366,81.943452
3460,10,8.483761,82.223564
3470,10,8.488130,82.503676
3480,11,8.494929,82.576408
3490,10,8.501349,82.876283
3500,12,8.507914,82.715832
3510,11,8.517112,83.041841
3520,12,8.524992,82.666590
3530,10,8.530324,82.953288
3540,12,8.537598,82.576764
3550,10,8.543711,82.869328
3560,9,8.546169,82.674897
3570,11,8.548145,82.255738
3580,13,8.556158,82.120770
3590,13,8.568093,81.807054
3600,12,8.577880,82.128642
3610,11,8.586171,82.436378
3620,12,8.596185,82.323252
3630,9,8.601796,82.604549
3640,12,8.606276,82.222693
3650,12,8.615574,82.537654
3660,11,8.624510,82.849624
3670,11,8.630983,83.138338
3680,12,8.637980,83.214045
3690,11,8.645857,83.298203
3700,10,8.652840,83.373721
3710,11,8.657945,83.431110
3720,11,8.665350,83.510628
3730,13,8.671970,83.367131
3740,13,8.684883,83.499900
3750,10,8.693064,83.802028
3760,10,8.696540,84.059098
3770,10,8.699997,84.316167
3780,11,8.704726,84.153101
3790,12,8.710865,84.219848
3800,13,8.723881,84.138951
3810,14,8.737563,84.065951
3820,13,8.749821,84.404835
3830,14,8.761448,84.312426
3840,17,8.777858,84.057298
3850,19,8.801550,84.084288
3860,19,8.827971,84.555752
3870,19,8.854974,84.823637
3880,21,8.884153,84.902744
3890,22,8.917165,85.227941
3900,21,8.948847,85.540454
3910,19,8.977330,86.032747
3920,19,9.004534,86.302628
3930,20,9.030023,86.556075
3940,21,9.059873,86.851336
3950,21,9.090371,87.152826
3960,22,9.119593,87.230891
3970,21,9.151864,87.760626
3980,21,9.180357,88.042942
3990,22,9.211890,88.354430
4000,23,9.244686,88.678042
4010,23,9.278988,89.229601
4020,22,9.310820,89.758987
4030,22,9.342023,90.067828
4040,22,9.372188,90.366685
4050,23,9.404924,90.690337
4060,23,9.440159,91.038114
4070,23,9.474082,91.157247
4080,21,9.505161,91.249546
4090,23,9.535208,91.332554
4100,23,9.569625,91.457954
4110,24,9.603100,91.574800
4120,22,9.634683,92.099526
4130,24,9.667064,91.993032
4140,24,9.701251,92.329145
4150,24,9.735566,92.454459
4160,23,9.770581,92.798208
4170,23,9.802632,93.113842
4180,23,9.833097,93.414426
4190,20,9.860445,93.898325
4200,21,9.884957,94.142443
4210,22,9.910731,94.185504
4220,22,9.939340,94.468500
4230,22,9.965669,94.729846
4240,21,9.992818,95.212467
4250,22,10.018631,95.255436
4260,22,10.046756,95.747606
4270,22,10.074749,96.239776
4280,24,10.103462,96.309168
4290,25,10.136275,96.418229
4300,25,10.169731,96.747439
4310,24,10.204019,97.299389
4320,25,10.236624,97.620782
4330,28,10.274582,97.563461
4340,29,10.315064,97.532409
4350,29,10.358017,98.164218
4360,27,10.398665,98.775990
4370,27,10.436654,99.364225
4380,27,10.474837,99.738662
4390,25,10.508673,100.071744
4400,26,10.543368,100.413026
4410,24,10.575486,100.729794
4420,24,10.605858,101.248152
4430,25,10.637885,101.345871
4440,25,10.670232,101.883505
4450,25,10.702434,102.421140
4460,25,10.734254,102.735568
4470,25,10.767168,103.060470
4480,26,10.800385,103.167859
4490,25,10.832710,103.707610
4500,25,10.864193,104.240659
4510,27,10.898089,104.353249
4520,26,10.931106,104.457926
4530,27,10.964998,104.571454
4540,27,11.000317,105.139875
4550,29,11.036440,105.274220
4560,29,11.076128,105.663479
4570,29,11.115349,106.270173
4580,30,11.154975,106.437056
4590,30,11.198680,106.643035
4600,31,11.241851,106.844042
4610,29,11.282797,107.466309
4620,27,11.318541,108.040622
4630,26,11.350959,108.584586
4640,27,11.382589,108.897344
4650,27,11.416175,109.454045
4660,26,11.448873,110.003603
4670,27,11.479715,110.082689
4680,26,11.511071,110.619737
4690,27,11.543607,110.941632
4700,29,11.578194,110.829967
4710,30,11.618429,110.999597
4720,28,11.655543,111.590597
4730,28,11.690098,112.158548
4740,28,11.724514,112.498370
4750,30,11.761402,112.634395
4760,27,11.796153,113.205016
4770,26,11.827005,113.739541
4780,28,11.860074,113.609529
4790,27,11.893438,113.939137
4800,27,11.926235,114.263328
4810,27,11.957573,114.802250
4820,27,11.988782,115.341172
4830,24,12.015758,115.840544
4840,21,12.038427,116.299374
4850,20,12.056319,116.712868
4860,19,12.071118,117.097077
4870,18,12.084413,117.467250
4880,19,12.098085,117.606881
4890,20,12.113289,117.527741
4900,20,12.128670,117.684126
4910,18,12.142386,118.057650
4920,18,12.155689,118.193660
4930,19,12.168912,118.328863
4940,18,12.180714,118.450246
4950,15,12.189776,118.778327
4960,14,12.195067,119.069947
4970,14,12.197843,119.102706
4980,14,12.202239,118.918102
4990,16,12.209392,118.530871
5000,16,12.216974,118.842155
5010,17,12.224532,118.691675
5020,18,12.234970,118.799903
5030,20,12.248654,118.710458
5040,19,12.262240,118.849401
5050,19,12.276211,118.992065
5060,18,12.286730,119.101255
5070,18,12.295805,118.742344
5080,16,12.306113,119.076292
5090,17,12.315225,119.172040
5100,16,12.323343,119.484887
5110,13,12.327994,119.764354
5120,14,12.330906,119.572419
5130,14,12.334159,119.837570
5140,12,12.337343,120.102162
5150,14,12.338211,119.890160
5160,15,12.342256,119.936047
5170,15,12.346516,119.758892
5180,15,12.352614,119.824984
5190,15,12.357630,119.880563
5200,13,12.359919,120.133790
5210,13,12.360842,119.925488
5220,10,12.358638,120.134247
5230,13,12.356702,119.455729
5240,11,12.357344,119.690360
5250,11,12.355719,119.681782
5260,12,12.353952,119.671800
5270,13,12.353893,119.678334
5280,14,12.355967,119.705512
5290,15,12.362466,119.338407
5300,15,12.367443,119.612129
5310,12,12.369496,119.639386
5320,12,12.368801,119.857965
5330,15,12.370921,119.451104
5340,18,12.377483,119.091456
5350,19,12.388716,119.207966
5360,20,12.401985,119.344061
5370,20,12.416133,119.488596
5380,20,12.431021,119.640238
5390,19,12.444410,119.991714
5400,20,12.456807,120.119207
5410,21,12.470792,120.262002
5420,22,12.486722,120.423547
5430,21,12.502830,120.586800
5440,21,12.519182,120.752391
5450,21,12.534743,121.124732
5460,21,12.550247,121.497072
5470,22,12.566895,121.450377
5480,22,12.584108,121.839070
5490,23,12.601720,122.016656
5500,23,12.620626,122.422300
5510,24,12.639330,122.394913
5520,23,12.659543,122.813143
5530,23,12.678242,123.217361
5540,23,12.696873,123.621579
5550,24,12.716886,123.822311
5560,25,12.737927,124.033055
5570,22,12.757532,124.447375
5580,21,12.772579,124.817850
5590,20,12.784784,124.942203
5600,21,12.799306,125.089206
5610,20,12.812253,125.220798
5620,20,12.825042,125.569230
5630,21,12.839210,125.494360
5640,20,12.852461,125.847012
5650,21,12.866397,125.770148
5660,22,12.882195,125.929574
5670,23,12.898311,125.875079
5680,21,12.916708,126.059967
5690,23,12.933005,125.792815
5700,22,12.949080,126.170522
5710,22,12.964931,126.546591
5720,23,12.982467,126.723056
5730,26,13.002787,126.495706
5740,29,13.027863,126.104437
5750,27,13.054194,126.579457
5760,28,13.079927,126.835660
5770,28,13.105785,127.307041
5780,31,13.134786,127.167607
5790,32,13.164709,127.251524
5800,30,13.194543,127.760185
5810,30,13.223468,128.261020
5820,31,13.252354,128.547836
5830,30,13.282471,128.846597
5840,29,13.310197,129.122173
5850,29,13.337131,129.390076
5860,28,13.363246,129.435743
5870,29,13.388808,129.690268
5880,30,13.416095,129.961516
5890,26,13.439409,130.408762
5900,25,13.460261,130.617660
5910,25,13.480351,130.819166
5920,24,13.499001,130.792286
5930,26,13.516966,130.546595
5940,27,13.537962,130.544630
5950,27,13.560733,130.560458
5960,26,13.583118,130.995764
5970,27,13.603957,131.204566
5980,28,13.627517,131.227944
5990,26,13.649606,131.660449
6000,25,13.670652,131.871240
6010,22,13.687602,132.254799
6020,23,13.702237,132.403634
6030,23,13.717656,132.772815
6040,23,13.733024,133.141997
6050,23,13.746935,133.283583
6060,24,13.763190,133.022221
6070,23,13.779301,133.397697
6080,22,13.794134,133.548301
6090,21,13.806128,133.671415
6100,20,13.816235,133.776242
6110,19,13.824859,133.866703
6120,18,13.832779,133.950333
6130,18,13.839385,134.021217
6140,18,13.846620,134.098184
6150,19,13.853544,134.172122
6160,18,13.860463,134.245998
6170,19,13.867619,134.322153
6180,19,13.874953,134.400010
6190,19,13.883232,134.697816
6200,20,13.892681,134.795965
6210,20,13.902516,135.108954
6220,19,13.912304,135.421802
6230,17,13.919145,135.706220
6240,18,13.925073,135.769465
6250,16,13.930719,136.042181
6260,16,13.934025,136.292181
6270,17,13.937851,136.334357
6280,18,13.944694,135.982423
6290,19,13.951454,136.053713
6300,20,13.959869,135.930721
6310,20,13.969442,136.239840
6320,19,13.978107,136.540394
6330,18,13.985665,136.830389
6340,17,13.992513,136.902057
6350,20,13.998688,136.546344
6360,20,14.008212,136.644523
6370,23,14.020274,136.349841
6380,23,14.034349,136.700986
6390,22,14.047627,137.044786
6400,24,14.061864,136.771926
6410,24,14.077282,136.720267
6420,26,14.094476,136.686606
6430,27,14.114160,136.883931
6440,30,14.137319,136.703206
6450,28,14.161045,137.145258
6460,27,14.181159,137.552986
6470,28,14.201104,137.752836
6480,27,14.222376,138.172404
6490,27,14.242064,138.577201
6500,29,14.263226,138.581422
6510,32,14.288839,138.217443
6520,29,14.313806,138.465898
6530,29,14.336296,138.896165
6540,34,14.362028,138.332344
6550,33,14.391151,138.417095
6560,32,14.418474,138.891610
6570,31,14.444275,139.147929
6580,32,14.470851,139.207898
6590,31,14.495281,139.450952
6600,32,14.521579,139.305842
6610,32,14.547602,139.564079
6620,32,14.574729,139.832904
6630,32,14.601668,140.099939
6640,31,14.627928,140.360461
6650,32,14.652692,140.606644
6660,30,14.676982,141.051516
6670,31,14.700758,141.288267
6680,31,14.725158,141.734952
6690,32,14.750148,141.983440
6700,31,14.775874,142.239018
6710,30,14.798894,142.673248
6720,31,14.822856,142.911894
6730,32,14.846338,142.941132
6740,33,14.872086,143.196939
6750,33,14.898634,143.256094
6760,33,14.925636,143.523895
6770,33,14.953297,143.798045
6780,31,14.978435,144.252544
6790,29,15.002410,144.491301
6800,29,15.022552,144.693136
6810,31,15.045812,144.720310
6820,32,15.070054,144.961593
6830,31,15.093439,145.194632
6840,31,15.117091,145.430242
6850,31,15.140278,145.866248
6860,32,15.164609,145.903533
6870,32,15.189115,146.352341
6880,31,15.213116,146.591373
6890,30,15.234832,147.013995
6900,33,15.259006,146.843995
6910,33,15.284000,146.887951
6920,32,15.308637,147.133015
6930,33,15.332743,147.168845
6940,32,15.356914,147.613548
6950,29,15.377104,148.020602
6960,29,15.397165,148.221669
6970,29,15.417382,148.424247
6980,27,15.435036,148.807393
6990,28,15.453250,148.785421
7000,30,15.471738,148.562638
7010,31,15.493679,148.781768
7020,31,15.515768,149.206426
7030,31,15.537794,149.631083
7040,30,15.558653,149.839831
7050,29,15.577725,150.236609
7060,27,15.594843,150.615036
7070,27,15.611306,150.781333
7080,25,15.626069,151.137392
7090,25,15.639291,151.478922
7100,24,15.651267,151.808740
7110,23,15.662639,152.133012
7120,23,15.672173,152.231753
7130,23,15.682253,152.335784
7140,21,15.689871,152.415893
7150,19,15.695831,152.687337
7160,18,15.699932,152.940836
7170,20,15.703163,152.563255
7180,20,15.709148,152.834258
7190,18,15.713943,152.680072
7200,19,15.716614,152.506224
7210,19,15.721142,152.351389
7220,19,15.725029,152.395585
7230,20,15.729679,152.447153
7240,22,15.736814,152.318895
7250,22,15.746591,152.420276
7260,23,15.756115,152.316102
7270,25,15.767011,152.225992
7280,27,15.780469,151.960072
7290,26,15.796218,152.119461
7300,27,15.810224,152.262049
7310,28,15.826718,152.228037
7320,30,15.845648,152.218032
7330,31,15.866086,152.422558
7340,31,15.885476,152.417512
7350,33,15.907457,152.437822
7360,32,15.930053,152.862043
7370,32,15.951857,153.279253
7380,31,15.972773,153.688477
7390,30,15.992635,154.088096
7400,29,16.010912,154.472946
7410,31,16.030360,154.466796
7420,29,16.049565,154.860559
7430,29,16.066727,154.832401
7440,30,16.084193,155.008282
7450,29,16.102000,155.388474
7460,29,16.119290,155.764122
7470,29,16.136533,156.139769
7480,31,16.154967,156.122938
7490,29,16.174000,156.515843
7500,30,16.192362,156.700279
7510,32,16.211385,156.689194
7520,30,16.230702,157.084790
7530,28,16.247500,157.254078
7540,25,16.260811,157.591918
7550,27,16.273083,157.515095
7560,26,16.286467,157.853448
7570,25,16.298254,158.176642
7580,25,16.310223,158.298964
7590,26,16.321827,158.417728
7600,27,16.334776,158.549550
7610,25,16.348191,158.888545
7620,24,16.357510,158.984980
7630,24,16.367526,159.291103
7640,24,16.377516,159.597225
7650,24,16.386306,159.485040
7660,24,16.396246,159.790384
7670,25,16.406764,159.898198
7680,23,16.416608,160.202734
7690,21,16.423863,160.482222
7700,21,16.429806,160.749058
7710,22,16.436188,160.816005
7720,21,16.442427,161.085710
7730,18,16.446314,161.332499
7740,18,16.447780,161.350842
7750,19,16.450600,161.178449
7760,19,16.453864,160.606271
7770,13,16.453571,160.810371
7780,11,16.446931,160.952354
7790,14,16.442505,160.510167
7800,16,16.440721,160.096906
7810,17,16.440729,160.102366
7820,18,16.442271,160.122742
7830,18,16.444716,159.952950
7840,18,16.446700,160.176552
7850,17,16.447985,160.393395
7860,19,16.450512,160.026016
7870,19,16.453751,160.261164
7880,18,16.455681,160.285247
7890,19,16.458129,160.314365
7900,20,16.462797,160.167602
7910,21,16.467621,160.023192
7920,20,16.472925,160.277107
7930,20,16.477748,160.329498
7940,21,16.481726,160.177363
7950,23,16.489759,159.870220
7960,24,16.498498,159.961079
7970,24,16.507910,160.253405
7980,29,16.520051,159.600489
7990,28,16.535802,159.759445
8000,29,16.550093,159.711393
8010,28,16.564865,160.053766
8020,29,16.579762,160.011666
8030,30,16.595866,160.174040
8040,32,16.614065,159.972554
8050,33,16.633771,159.978325
8060,37,16.656693,159.634893
8070,39,16.683241,159.707898
8080,39,16.710861,160.170531
8090,37,16.737884,160.628090
8100,35,16.760822,161.047040
8110,35,16.783784,161.084605
8120,36,16.806770,161.313206
8130,34,16.829662,161.731860
8140,32,16.849620,162.122825
8150,35,16.870384,161.947741
8160,34,16.891571,162.350086
8170,33,16.911639,162.742153
8180,33,16.930263,162.928887
8190,32,16.949190,163.310430
8200,34,16.969048,163.125665
8210,34,16.990611,163.340653
8220,35,17.012340,163.557235
8230,34,17.033451,163.767877
8240,31,17.052628,164.151465
8250,31,17.069534,164.513615
8260,30,17.087265,164.691730
8270,31,17.102084,164.649866
8280,32,17.118812,164.626903
8290,31,17.135648,164.796428
8300,31,17.152260,164.582378
8310,30,17.168812,164.939684
8320,28,17.182821,165.272910
8330,28,17.195380,165.401290
8340,25,17.206410,165.706073
8350,27,17.217173,165.626035
8360,24,17.226815,165.917252
8370,24,17.234907,166.193750
8380,23,17.242476,166.465378
8390,24,17.249620,166.541214
8400,25,17.258432,166.441828
8410,26,17.268600,166.165821
8420,25,17.278894,166.272331
8430,26,17.289186,166.378809
8440,24,17.297418,166.655490
8450,25,17.306425,166.749474
8460,26,17.314879,166.648326
8470,27,17.326952,166.582613
8480,27,17.338359,166.889083
8490,30,17.351071,166.640938
8500,29,17.365048,166.971611
8510,30,17.379823,166.932615
8520,28,17.393279,167.258170
8530,25,17.404516,167.562667
8540,26,17.414478,167.665886
8550,26,17.424519,167.959009
8560,26,17.434537,168.252131
8570,31,17.446154,167.616072
8580,30,17.462400,167.779834
8590,32,17.476902,167.551996
8600,29,17.491211,167.510483
8610,27,17.503315,167.821313
8620,29,17.516124,167.765547
8630,30,17.530482,167.911273
8640,32,17.546314,167.884997
8650,34,17.564419,167.880908
8660,34,17.583741,168.074171
8670,34,17.602231,168.259472
8680,32,17.619724,168.620952
8690,31,17.635886,168.970063
8700,31,17.651247,169.311849
8710,32,17.667063,169.471500
8720,33,17.683599,169.638050
8730,35,17.702562,169.641458
8740,34,17.721626,170.018670
8750,34,17.740230,170.391886
8760,31,17.758101,170.758473
8770,30,17.772120,170.900756
8780,29,17.785020,171.032280
8790,27,17.797393,171.346208
8800,27,17.807851,171.641937
8810,27,17.818285,171.937665
8820,26,17.827792,172.224674
8830,27,17.837256,172.322722
8840,28,17.848180,172.434878
8850,29,17.860777,172.563187
8860,29,17.873864,172.696219
8870,30,17.886989,172.829617
8880,29,17.900549,173.155640
8890,28,17.912435,173.465738
8900,30,17.925857,173.037014
8910,27,17.938463,173.353263
8920,28,17.950144,173.284944
8930,28,17.961398,173.587974
8940,26,17.972158,173.886461
8950,25,17.980246,173.971029
8960,26,17.988702,174.059148
8970,25,17.997036,174.146081
8980,25,18.004835,174.415768
8990,26,18.013068,174.313757
9000,28,18.023048,174.229246
9010,27,18.033474,174.336482
9020,26,18.043241,174.437336
9030,25,18.051846,174.714005
9040,24,18.059135,174.978112
9050,23,18.064211,174.846110
9060,24,18.070399,174.912192
9070,27,18.078493,174.623992
9080,27,18.088817,174.730276
9090,26,18.098718,174.832458
9100,25,18.107628,174.739572
9110,28,18.116817,174.465334
9120,28,18.127541,174.391535
9130,26,18.136187,174.666019
9140,26,18.144798,174.756006
9150,25,18.152367,174.835957
9160,27,18.161088,174.743239
9170,25,18.169279,175.012910
9180,23,18.176272,175.087280
9190,25,18.182870,174.974429
9200,28,18.191612,174.700242
9210,27,18.201240,174.982694
9220,27,18.210895,175.082853
9230,28,18.221022,175.187534
9240,27,18.231553,175.296096
9250,29,18.242148,175.223120
9260,28,18.253020,175.517095
9270,30,18.264624,175.272321
9280,28,18.276569,175.576147
9290,27,18.286338,175.859295
9300,25,18.294634,176.128463
9310,26,18.302205,175.844719
9320,26,18.310465,176.113037
9330,24,18.317573,176.370444
9340,24,18.323901,176.438391
9350,24,18.329972,176.685813
9360,23,18.335338,176.926563
9370,25,18.341949,176.814880
