policy,rho,metric,trend_slope,trend_r_squared,trend_p_value,mean_value,std_value,autocorr_lag1
ROUND_ROBIN,0.95,system_ew,0.0,0.0,1.0,0.0,0.0,
ROUND_ROBIN,0.95,little_error,5.068021092160994,0.999378097366349,0.0,24488.330482488425,12645.084938657945,0.999999981702945
ROUND_ROBIN,0.999,system_en,5.049786329796294,0.9994980862036504,0.0,24428.05725375,12598.831559733477,0.9999999804804205
ROUND_ROBIN,0.999,system_ew,0.0,0.0,1.0,0.0,0.0,
ROUND_ROBIN,0.999,little_error,5.049786329796294,0.9994980862036504,0.0,24428.05725375,12598.831559733477,0.9999999804804205
SALLES_UTILITY,0.8,system_en,5.008531913907836,0.9999618517573442,0.0,22617.339319988427,12493.006908352501,0.9999999021890815
SALLES_UTILITY,0.8,system_ew,0.0,0.0,1.0,0.0,0.0,
SALLES_UTILITY,0.8,little_error,5.008531913907836,0.9999618517573442,0.0,22617.339319988427,12493.006908352501,0.9999999021890815
SALLES_UTILITY,0.9,system_en,4.981267337357262,0.9999686264015518,0.0,22490.94768148148,12424.95755726614,0.9999998083664138
SALLES_UTILITY,0.9,system_ew,0.0,0.0,1.0,0.0,0.0,
SALLES_UTILITY,0.9,little_error,4.981267337357262,0.9999686264015518,0.0,22490.94768148148,12424.95755726614,0.9999998083664138
SALLES_UTILITY,0.95,system_en,5.016900860959272,0.9999592145258667,0.0,22604.542022696758,12513.8984518702,0.999999685635408
SALLES_UTILITY,0.95,system_ew,0.0,0.0,1.0,0.0,0.0,
SALLES_UTILITY,0.95,little_error,5.016900860959272,0.9999592145258667,0.0,22604.542022696758,12513.8984518702,0.999999685635408
SALLES_UTILITY,0.999,system_en,4.954377752609897,0.9996981867049631,0.0,22284.945014710647,12359.557304120954,0.9999993173010476
SALLES_UTILITY,0.999,system_ew,0.0,0.0,1.0,0.0,0.0,
SALLES_UTILITY,0.999,little_error,4.954377752609897,0.9996981867049631,0.0,22284.945014710647,12359.557304120954,0.9999993173010476
SHORTEST_QUEUE,0.8,system_en,5.024456955766756,0.9999702133118493,0.0,22623.791011064815,12532.67705984895,0.9999999059552758
SHORTEST_QUEUE,0.8,system_ew,0.0,0.0,1.0,0.0,0.0,
SHORTEST_QUEUE,0.8,little_error,5.024456955766756,0.9999702133118493,0.0,22623.791011064815,12532.67705984895,0.9999999059552758
SHORTEST_QUEUE,0.9,system_en,5.011241915284823,0.9999751830192255,0.0,22513.305890208336,12499.683265761832,0.9999998145584598
SHORTEST_QUEUE,0.9,system_ew,0.0,0.0,1.0,0.0,0.0,
SHORTEST_QUEUE,0.9,little_error,5.011241915284823,0.9999751830192255,0.0,22513.305890208336,12499.683265761832,0.9999998145584598
SHORTEST_QUEUE,0.95,system_en,4.992709633883835,0.9999499345980025,0.0,22589.95248295139,12453.614891020812,0.9999997529575392
SHORTEST_QUEUE,0.95,system_ew,0.0,0.0,1.0,0.0,0.0,
SHORTEST_QUEUE,0.95,little_error,4.992709633883835,0.9999499345980025,0.0,22589.95248295139,12453.614891020812,0.9999997529575392
SHORTEST_QUEUE,0.999,system_en,5.027042434121023,0.9991638528983091,0.0,22291.213041284722,12544.184845803387,0.999999418669259
SHORTEST_QUEUE,0.999,system_ew,0.0,0.0,1.0,0.0,0.0,
SHORTEST_QUEUE,0.999,little_error,5.027042434121023,0.9991638528983091,0.0,22291.213041284722,12544.184845803387,0.999999418669259
STRICT_PRIORITY,0.8,system_en,5.05623475986005,0.9999482068713436,0.0,22847.9641421412,12612.080315953206,0.9999999176088128
STRICT_PRIORITY,0.8,system_ew,0.0,0.0,1.0,0.0,0.0,
STRICT_PRIORITY,0.8,little_error,5.05623475986005,0.9999482068713436,0.0,22847.9641421412,12612.080315953206,0.9999999176088128
STRICT_PRIORITY,0.9,system_en,5.01423782719505,0.9999765682244025,0.0,22537.912930254628,12507.147391370578,0.9999997879194346
STRICT_PRIORITY,0.9,system_ew,0.0,0.0,1.0,0.0,0.0,
STRICT_PRIORITY,0.9,little_error,5.01423782719505,0.9999765682244025,0.0,22537.912930254628,12507.147391370578,0.9999997879194346
STRICT_PRIORITY,0.95,system_en,5.00930583708097,0.9999630032036496,0.0,22462.53571380787,12494.930145914264,0.999999740024024
STRICT_PRIORITY,0.95,system_ew,0.0,0.0,1.0,0.0,0.0,
STRICT_PRIORITY,0.95,little_error,5.00930583708097,0.9999630032036496,0.0,22462.53571380787,12494.930145914264,0.999999740024024
STRICT_PRIORITY,0.999,system_en,4.920057297732447,0.9998262474972834,0.0,21776.60129444444,12273.152891174064,0.999999786959672
STRICT_PRIORITY,0.999,system_ew,0.0,0.0,1.0,0.0,0.0,
STRICT_PRIORITY,0.999,little_error,4.920057297732447,0.9998262474972834,0.0,21776.60129444444,12273.152891174064,0.999999786959672
WEIGHTED_ROUND_ROBIN,0.8,system_en,5.0409593289587855,0.9993924721924727,0.0,24177.02112296296,12577.47339599517,0.9999999828470005
WEIGHTED_ROUND_ROBIN,0.8,system_ew,0.0,0.0,1.0,0.0,0.0,
WEIGHTED_ROUND_ROBIN,0.8,little_error,5.0409593289587855,0.9993924721924727,0.0,24177.02112296296,12577.47339599517,0.9999999828470005
