Tempo,Ocupacao,NumeroMedioRequisicoes,TempoMedioEspera,TamanhoFila
3510,0.821657,3.960551,5.117157,1
3520,0.821214,3.952939,4.405485,0
3530,0.821418,3.945355,5.529506,2
3540,0.821261,3.938247,3.303537,1
3550,0.821986,3.936729,4.114869,8
3560,0.821533,3.954032,4.206856,12
3570,0.822075,3.958146,7.891932,8
3580,0.822537,3.966638,6.305228,9
3590,0.822471,3.966251,4.711208,1
3600,0.822755,3.962090,3.890907,3
3610,0.823203,3.960903,5.358219,6
3620,0.822913,3.953959,4.421223,0
3630,0.821788,3.944696,4.653272,0
3640,0.820658,3.935237,4.172031,0
3650,0.820937,3.927016,8.212980,6
3660,0.821005,3.929391,6.541420,7
3670,0.821360,3.930620,4.210768,2
3680,0.821912,3.925888,4.614137,3
3690,0.823000,3.930646,2.023307,5
3700,0.823041,3.933934,4.624228,2
3710,0.822856,3.931321,4.614401,1
3720,0.822243,3.922813,2.780025,1
3730,0.821584,3.914063,5.897012,1
3740,0.821127,3.905853,4.855801,1
3750,0.819949,3.897548,4.453502,0
3760,0.820243,3.891362,7.867049,4
3770,0.819693,3.883725,6.595188,1
3780,0.820332,3.881203,0.784176,1
3790,0.819388,3.873824,4.238174,0
3800,0.817728,3.863997,6.681909,2
3810,0.817526,3.857860,4.369977,0
3820,0.816397,3.848905,4.617147,1
3830,0.816496,3.845776,4.155258,6
3840,0.816972,3.847531,4.428557,4
3850,0.817349,3.841517,8.338307,4
3860,0.817568,3.841250,5.941336,6
3870,0.818411,3.840444,3.898477,2
3880,0.818351,3.839276,4.872969,1
3890,0.818454,3.836126,8.043795,12
3900,0.819265,3.861493,5.941617,12
3910,0.819420,3.883798,3.890328,11
3920,0.819861,3.898320,7.174308,10
3930,0.820327,3.908856,6.030615,8
3940,0.820752,3.914634,1.593333,3
3950,0.821523,3.913341,1.220054,2
3960,0.822070,3.913596,4.832739,7
3970,0.821930,3.918790,5.753234,1
3980,0.820387,3.910406,4.386905,0
3990,0.818956,3.901070,5.404646,1
4000,0.819129,3.897299,5.709903,1
4010,0.817582,3.888207,4.560617,0
4020,0.815868,3.878652,6.648763,1
4030,0.816389,3.879771,6.034064,5
4040,0.816527,3.882223,5.106343,8
4050,0.817149,3.891493,5.347327,8
4060,0.817688,3.893198,4.440758,3
4070,0.817812,3.889992,2.738576,1
4080,0.817820,3.885019,6.269901,1
4090,0.816385,3.876251,3.707790,0
4100,0.816952,3.871424,1.533180,1
4110,0.815888,3.863219,6.907565,2
4120,0.816585,3.859976,5.064492,4
4130,0.816845,3.865130,4.839352,6
4140,0.817201,3.866463,4.445788,3
4150,0.817450,3.862941,4.044317,4
4160,0.818599,3.864662,4.309321,4
4170,0.818163,3.870073,3.632674,8
4180,0.818902,3.875412,5.232480,4
4190,0.818888,3.883804,3.785487,9
4200,0.819871,3.883669,5.853882,3
4210,0.819097,3.880681,3.891132,0
4220,0.819156,3.876338,3.044821,0
4230,0.819374,3.869218,4.625283,2
4240,0.819578,3.868778,2.100993,0
4250,0.818987,3.862497,3.189198,0
4260,0.818531,3.855713,7.680163,3
4270,0.817475,3.847944,4.494262,0
4280,0.816167,3.839811,3.336629,0
4290,0.815114,3.832088,4.309899,2
4300,0.815954,3.830710,4.710778,4
4310,0.816044,3.837402,3.525046,7
4320,0.816463,3.842555,3.463160,5
4330,0.816532,3.841233,5.977562,2
4340,0.816889,3.838911,6.492356,7
4350,0.817458,3.844434,4.215396,4
4360,0.818450,3.851466,3.997000,7
4370,0.818817,3.859727,4.004909,4
4380,0.818864,3.860502,5.466944,1
4390,0.818354,3.854554,2.738375,0
4400,0.817717,3.847638,8.902456,6
4410,0.818338,3.853346,2.925229,4
4420,0.818404,3.853906,4.841758,3
4430,0.820480,3.850196,5.090819,2
4440,0.819366,3.849624,4.437259,5
4450,0.819267,3.848928,4.491063,0
4460,0.819070,3.843396,5.389579,1
4470,0.819410,3.838930,5.048269,1
4480,0.818474,3.831807,2.751074,0
4490,0.817556,3.823623,6.734784,1
4500,0.817651,3.819334,4.424363,3
4510,0.817874,3.817244,4.283672,2
4520,0.818132,3.819864,3.397785,7
4530,0.818977,3.826180,4.750269,7
4540,0.819111,3.841761,4.450829,15
4550,0.819421,3.861175,1.411174,10
4560,0.819747,3.875168,4.851899,11
4570,0.820354,3.898634,2.242969,11
4580,0.821120,3.924500,5.117252,20
4590,0.821347,3.956306,5.361719,17
4600,0.821323,3.992051,3.248590,17
4610,0.821805,4.013276,3.089803,12
4620,0.822079,4.024828,5.341377,9
4630,0.822650,4.032169,6.618753,6
4640,0.823181,4.036614,4.218088,6
4650,0.823381,4.043038,4.318426,6
4660,0.823850,4.046431,6.949940,5
4670,0.824280,4.054048,3.500380,4
4680,0.823796,4.049449,4.405396,0
4690,0.823436,4.044834,5.665357,5
4700,0.823721,4.042066,4.637143,2
